x_S_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
338.8069324,-10.7432738,25.7693495,1.1864928,-0.0945154,12.1044748,-0.3396848
340.7999144,-12.5112107,26.6927699,0.9894128,-0.1033312,12.0484164,0.1027177
342.7928963,-14.0540894,27.9475945,0.7874655,-0.1006739,12.0653954,0.1521943
344.7858783,-15.3160254,29.4877139,0.5852283,-0.1011967,12.090509,0.1712437
346.7788603,-16.2423907,31.2478435,0.3835277,-0.1015725,12.1187037,0.115654
348.7718422,-16.7976473,33.1574936,0.1826903,-0.1006863,12.1377087,0.1273197
350.7648242,-16.960819,35.1405942,-0.0181801,-0.0999517,12.1585963,0.1511461
352.7578061,-16.7269464,37.1172664,-0.2176474,-0.0999311,12.1833463,0.6145767
354.7507881,-16.1145605,39.0101413,-0.4040599,-0.0877103,12.2834688,1.5494366
356.74377,-15.1819643,40.7685926,-0.5659782,-0.0722274,12.5323424,3.1046896
358.736752,-14.0056289,42.3770214,-0.6906296,-0.053568,13.0167118,4.3337397
360.7297339,-12.6635677,43.847538,-0.784632,-0.0407791,13.6641471,5.0628376
362.7227159,-11.2047314,45.2047771,-0.8554515,-0.0320042,14.3836436,5.072852
364.7156978,-9.6606774,46.4669076,-0.9138031,-0.0265369,15.0701496,4.8777801
366.7086798,-8.0537307,47.6449615,-0.9605536,-0.0203946,15.7019764,4.6319191
368.7016618,-6.3966339,48.7581017,-0.9973992,-0.0183503,16.2792729,4.4066868
370.6946437,-4.704696,49.8061822,-1.0355784,-0.0199836,16.8101047,4.1754028
372.6876257,-2.9705865,50.7897893,-1.0733405,-0.0177285,17.2980527,3.9378268
374.6806076,-1.208092,51.7104542,-1.1024819,-0.0089453,17.7459478,3.6971242
376.6735896,0.577136,52.6034884,-1.1070174,0.0045708,18.1564111,3.4863922
378.6665715,2.351127,53.5141853,-1.0800479,0.0225621,18.5351531,3.3020429
380.6595535,4.0827818,54.5009793,-1.0245034,0.0265223,18.8868664,3.139253
382.6525354,5.7594066,55.5753244,-0.9802213,0.0182528,19.2152718,2.9840521
384.6455174,7.3946897,56.7144077,-0.9448675,0.0172536,19.5223204,1.441543
386.6384994,8.9900788,57.9097716,-0.9102964,0.0182766,19.6689332,-1.7604272
388.6314813,10.5397268,59.1617713,-0.8713419,0.0207652,19.4897392,-4.7393854
390.6244633,12.0367831,60.476405,-0.828578,0.0221342,18.9989188,-5.9205648
392.6174452,13.4739023,61.8557259,-0.7821883,0.0252492,18.3673558,-5.1626627
394.6104272,14.8410221,63.3071326,-0.7273103,0.0298091,17.7983586,-4.3013503
396.6034091,16.1180329,64.8358667,-0.6628143,0.0349767,17.3100128,-3.5242642
398.5963911,17.2860688,66.450465,-0.588225,0.0395619,16.8993773,-3.0543591
400.589373,18.3233591,68.1522477,-0.5051722,0.0436012,16.5352468,-2.9390729
402.582355,19.2104227,69.9358451,-0.4176216,0.0443502,16.1771243,-3.0827836
404.575337,19.9366768,71.791623,-0.3279228,0.0458668,15.7927669,-3.2059384
406.5683189,20.4900979,73.7054311,-0.2343003,0.0481848,15.3828713,-3.0215966
408.5613009,20.8569243,75.6638916,-0.1348472,0.051697,14.9862856,-2.3604293
410.5542828,21.0199185,77.6496162,-0.0271012,0.0572717,14.6690208,-1.5799545
412.5472648,20.9551821,79.6395944,0.0947771,0.0651519,14.4527689,-0.7239771
414.5402467,20.6361702,81.6063642,0.2280391,0.0688,14.352588,-1.4489204
416.5332287,20.0511398,83.5101487,0.3696987,0.0732142,14.1499624,-1.1548921
418.5262106,19.1959469,85.3068415,0.5205623,0.078506,13.9863533,-0.7062759
